,Loss
648,74.49668884277344
649,80.31317138671875
650,91.51513671875
651,101.57826232910156
652,74.51100158691406
653,85.67993927001953
654,69.87849426269531
655,76.694091796875
656,89.60635375976562
657,101.05045318603516
658,69.2122802734375
659,82.63088989257812
660,74.05686950683594
661,79.0025634765625
662,67.4737548828125
663,71.40292358398438
664,87.48164367675781
665,79.40113067626953
666,79.86012268066406
667,83.74158477783203
668,90.44888305664062
669,74.89669036865234
670,74.578857421875
671,73.78616333007812
672,89.75508880615234
673,82.8992919921875
674,90.85865783691406
675,71.6644287109375
676,78.86235046386719
677,79.95891571044922
678,63.79644775390625
679,73.42049407958984
680,68.96804809570312
681,83.27324676513672
682,84.57928466796875
683,71.04798889160156
684,87.88107299804688
685,83.59661865234375
686,78.21690368652344
687,86.59351348876953
688,81.54483795166016
689,81.24250793457031
690,77.83198547363281
691,74.8375473022461
692,66.6578369140625
693,71.17154693603516
694,93.32881164550781
695,79.1148681640625
696,81.61471557617188
697,77.07217407226562
698,76.44081115722656
699,94.11299896240234
700,90.58186340332031
701,79.27690124511719
702,82.02481079101562
703,84.63890838623047
704,93.39713287353516
705,72.97679138183594
706,62.75003433227539
707,89.56167602539062
708,71.42047119140625
709,85.25189971923828
710,78.3113021850586
711,79.031982421875
712,72.54052734375
713,74.90531921386719
714,65.05686950683594
715,55.310813903808594
716,71.91700744628906
717,80.27468872070312
718,66.91559600830078
719,80.9677734375
720,77.52874755859375
721,91.48036193847656
722,81.1914291381836
723,82.67264556884766
724,87.62014770507812
725,86.10431671142578
726,79.7410888671875
727,71.884765625
728,67.69245910644531
729,73.96404266357422
730,85.07781982421875
731,72.78356170654297
732,80.90355682373047
733,65.19917297363281
734,74.47078704833984
735,74.53467559814453
736,73.20152282714844
737,86.71536254882812
738,80.79837036132812
739,83.25932312011719
740,55.805789947509766
741,88.60860443115234
742,77.22266387939453
743,86.41348266601562
744,60.80022048950195
745,84.0097885131836
746,83.42469787597656
747,78.9944839477539
748,66.76691436767578
749,74.7662353515625
750,72.53712463378906
751,96.85273742675781
752,86.29227447509766
753,89.71821594238281
754,81.97450256347656
755,78.46788787841797
756,74.28514862060547
757,88.93462371826172
758,102.86614990234375
759,72.64409637451172
760,74.656494140625
761,68.30003356933594
762,77.3550796508789
763,70.0466537475586
764,88.9881820678711
765,76.7044448852539
766,84.15535736083984
767,85.56825256347656
768,60.519554138183594
769,74.41264343261719
770,78.43443298339844
771,98.27879333496094
772,66.93345642089844
773,75.59160614013672
774,86.28002166748047
775,81.45386505126953
776,72.44036865234375
777,74.57452392578125
778,100.38246154785156
779,71.58307647705078
780,85.54735565185547
781,72.71332550048828
782,100.28843688964844
783,61.21841049194336
784,75.54655456542969
785,78.66573333740234
786,74.70301055908203
787,57.135894775390625
788,80.92135620117188
789,81.00920104980469
790,92.01710510253906
791,102.07125854492188
792,93.86955261230469
793,73.5988998413086
794,70.94888305664062
795,77.33283996582031
796,95.94467163085938
797,90.21942901611328
798,68.18523406982422
799,74.90271759033203
800,76.91928100585938
801,85.44024658203125
802,79.06473541259766
803,73.24298095703125
804,75.52027893066406
805,78.47261047363281
806,69.76736450195312
807,84.22067260742188
808,70.79076385498047
809,90.9542465209961
810,80.52774047851562
811,68.20477294921875
812,56.18697738647461
813,79.53901672363281
814,77.07130432128906
815,64.78543090820312
816,74.29277038574219
817,78.51551818847656
818,86.75792694091797
819,70.26881408691406
820,77.58132934570312
821,73.47773742675781
822,84.47276306152344
823,65.92191314697266
824,66.7220458984375
825,78.03923034667969
826,79.78142547607422
827,83.743896484375
828,79.26364135742188
829,87.58423614501953
830,85.55934143066406
831,95.25784301757812
832,75.61746215820312
833,82.83657836914062
834,98.77227783203125
835,85.63334655761719
836,91.413818359375
837,84.6006851196289
838,64.2896499633789
839,76.59736633300781
840,81.8294448852539
841,86.86356353759766
842,62.80229187011719
843,72.25382995605469
844,90.50750732421875
845,69.41283416748047
846,97.90776824951172
847,73.2480697631836
848,62.40895462036133
849,79.10916137695312
850,62.813575744628906
851,85.44996643066406
852,99.38941955566406
853,84.59236145019531
854,66.85562896728516
855,70.45941162109375
856,85.93314361572266
857,62.647735595703125
858,76.35533905029297
859,60.80705261230469
860,67.572998046875
861,89.958740234375
862,80.98880004882812
863,67.45465087890625
864,80.2593002319336
865,66.5167007446289
866,71.77091979980469
867,67.01658630371094
868,109.21002960205078
869,84.3235092163086
870,50.805606842041016
871,76.29034423828125
872,84.29450988769531
873,87.60136413574219
874,105.71774291992188
875,73.25225067138672
876,83.18814849853516
877,96.95639038085938
878,74.37599182128906
879,74.86063385009766
880,86.62171936035156
881,62.29157257080078
882,75.54237365722656
883,71.68565368652344
